name,default_code,type,categ_id,list_price,standard_price,barcode,qty_available,uom_id,description_sale,description_ecommerce,weight,active,sale_ok,purchase_ok,tracking,compare_list_price,image_1920,hs_code,country_of_origin
Blaklader 1690 Rip Stop Pants with Stretch | Dark Navy | 30W 28L,BLK-16901330860030/28,product,Rip Stop | Lightweight | Stretch Panel | Knee Pad Ready,84.95,47.1705000,7330509633144,3,Units,"Lightweight Durability and Comfort Description The Blaklader 1690 Rip Stop Pants are built for work and play. The lightweight rip stop material offers breathability while still offering extreme durability. The Blaklader Rip Stop Pants are the ideal work pants for those hot summer days on the job site. These pants are fully equipped with Cordura reinforced kneepads, cargo pockets and carpenter pockets on the legs. They also boast triple stitched seams with a lifetime warranty, and a gusseted crotch panel made from stretch material for added flexibility and comfort. Specs FABRIC 60% cotton | 40% polyester | Ripstop | 7 oz REINFORCEMENT CORDURA&reg; reinforced nail pockets, back pockets, ruler pocket, leg pockets, knees and hem, side pocket for tape measure DETAILS Plastic zipper fly | Loops (one with D ring) | Stretch Panels | Inside leg seam with double stitching | Bl&aring;kl&auml;der embroidery back POCKETS Back pockets with bellow, reinforced | Leg pocket with pen pocket, extra pocket and telephone pocket | Leg pocket with zipper | Thigh pocket with zipper | Knee protection pockets with two placement level options and velcro closure | Side pockets | Ruler pocket reinforced with CORDURA&reg; | Ruler pocket with extra pocket | Ruler pocket with pen pocket FINISH Leg bottom with CORDURA&reg; reinforcement, Adjustable leg hem with drawstring and CORDURA&reg;-reinforcement REFLEX Reflective detail on outside of each leg FITS WITH all Knee pads",,2.1140,TRUE,TRUE,TRUE,none,,https://cdn.shopify.com/s/files/1/0605/4402/4797/files/169013308600_90e1eff0-f66f-4890-b444-c0151c9a72da.png?v=1721425324,,
Blaklader 1690 Rip Stop Pants with Stretch | Dark Navy | 30W 30L,BLK-16901330860030/30,product,Rip Stop | Lightweight | Stretch Panel | Knee Pad Ready,84.95,47.1705000,7330509633151,3,Units,"Lightweight Durability and Comfort Description The Blaklader 1690 Rip Stop Pants are built for work and play. The lightweight rip stop material offers breathability while still offering extreme durability. The Blaklader Rip Stop Pants are the ideal work pants for those hot summer days on the job site. These pants are fully equipped with Cordura reinforced kneepads, cargo pockets and carpenter pockets on the legs. They also boast triple stitched seams with a lifetime warranty, and a gusseted crotch panel made from stretch material for added flexibility and comfort. Specs FABRIC 60% cotton | 40% polyester | Ripstop | 7 oz REINFORCEMENT CORDURA&reg; reinforced nail pockets, back pockets, ruler pocket, leg pockets, knees and hem, side pocket for tape measure DETAILS Plastic zipper fly | Loops (one with D ring) | Stretch Panels | Inside leg seam with double stitching | Bl&aring;kl&auml;der embroidery back POCKETS Back pockets with bellow, reinforced | Leg pocket with pen pocket, extra pocket and telephone pocket | Leg pocket with zipper | Thigh pocket with zipper | Knee protection pockets with two placement level options and velcro closure | Side pockets | Ruler pocket reinforced with CORDURA&reg; | Ruler pocket with extra pocket | Ruler pocket with pen pocket FINISH Leg bottom with CORDURA&reg; reinforcement, Adjustable leg hem with drawstring and CORDURA&reg;-reinforcement REFLEX Reflective detail on outside of each leg FITS WITH all Knee pads",,2.1140,TRUE,TRUE,TRUE,none,,https://cdn.shopify.com/s/files/1/0605/4402/4797/files/image_cbafeebd-d435-435c-b07a-d3b2f535b70a.jpg?v=1751775278,,
Blaklader 1690 Rip Stop Pants with Stretch | Dark Navy | 30W 32L,BLK-16901330860030/32,product,Rip Stop | Lightweight | Stretch Panel | Knee Pad Ready,84.95,47.1705000,7330509633168,1,Units,"Lightweight Durability and Comfort Description The Blaklader 1690 Rip Stop Pants are built for work and play. The lightweight rip stop material offers breathability while still offering extreme durability. The Blaklader Rip Stop Pants are the ideal work pants for those hot summer days on the job site. These pants are fully equipped with Cordura reinforced kneepads, cargo pockets and carpenter pockets on the legs. They also boast triple stitched seams with a lifetime warranty, and a gusseted crotch panel made from stretch material for added flexibility and comfort. Specs FABRIC 60% cotton | 40% polyester | Ripstop | 7 oz REINFORCEMENT CORDURA&reg; reinforced nail pockets, back pockets, ruler pocket, leg pockets, knees and hem, side pocket for tape measure DETAILS Plastic zipper fly | Loops (one with D ring) | Stretch Panels | Inside leg seam with double stitching | Bl&aring;kl&auml;der embroidery back POCKETS Back pockets with bellow, reinforced | Leg pocket with pen pocket, extra pocket and telephone pocket | Leg pocket with zipper | Thigh pocket with zipper | Knee protection pockets with two placement level options and velcro closure | Side pockets | Ruler pocket reinforced with CORDURA&reg; | Ruler pocket with extra pocket | Ruler pocket with pen pocket FINISH Leg bottom with CORDURA&reg; reinforcement, Adjustable leg hem with drawstring and CORDURA&reg;-reinforcement REFLEX Reflective detail on outside of each leg FITS WITH all Knee pads",,2.1140,TRUE,TRUE,TRUE,none,,https://cdn.shopify.com/s/files/1/0605/4402/4797/files/image_5911be2d-cd81-4e84-9f28-120719d5b5e6.jpg?v=1751775279,,
