Item ID,Created Time,Last Modified Time,Item Name,Sales Description,Selling Price,Sales Account,Is Returnable Item,Brand,Manufacturer,Package Weight,Package Length,Package Width,Package Height,Dimension Unit,Weight Unit,Is Receivable Service,Taxable,Exemption Reason,Product Type,Source,Reference ID,Last Sync Time,Status,Unit,Unit Name,SKU,UPC,EAN,ISBN,Part Number,Purchase Price,Purchase Account,Purchase Description,Inventory Account,Inventory Valuation Method,Reorder Level,Preferred Vendor,Location Name,Opening Stock,Opening Stock Value,Stock On Hand,Is Combo Product,Enable Bin Tracking,Item Type,Sellable,Purchasable,Track Inventory
7047058000000307736,2025-09-02 13:05:44,2025-10-06 12:50:05,Blaklader 1690 Rip Stop Pants with Stretch | Dark Navy - 8600 Dark Navy / 34W / 34L,,USD 84.95,Sales,TRUE,Blaklader Workwear,Blaklader Workwear,0,0,0,0,in,lb,,TRUE,,goods,1,,,Active,ea,Each,BLK-16901330860034/34,,,,,USD 50.12,Cost of goods sold,,Inventory Asset,fifo,,,,,,0,FALSE,FALSE,Inventory,TRUE,TRUE,TRUE
7047058000000307738,2025-09-02 13:05:44,2025-10-06 12:50:05,Blaklader 1690 Rip Stop Pants with Stretch | Dark Navy - 8600 Dark Navy / 34W / 36L,,USD 84.95,Sales,TRUE,Blaklader Workwear,Blaklader Workwear,0,0,0,0,in,lb,,TRUE,,goods,1,,,Active,ea,Each,BLK-16901330860034/36,,,,,USD 50.12,Cost of goods sold,,Inventory Asset,fifo,,,,,,5,FALSE,FALSE,Inventory,TRUE,TRUE,TRUE
7047058000000307740,2025-09-02 13:05:44,2025-09-26 8:30:46,Blaklader 1690 Rip Stop Pants with Stretch | Dark Navy - 8600 Dark Navy / 36W / 30L,,USD 84.95,Sales,TRUE,Blaklader Workwear,Blaklader Workwear,0,0,0,0,in,lb,,TRUE,,goods,1,,,Active,ea,Each,BLK-16901330860036/30,,,,,USD 50.12,Cost of goods sold,,Inventory Asset,fifo,,,,,,9,FALSE,FALSE,Inventory,TRUE,TRUE,TRUE
7047058000000307742,2025-09-02 13:05:44,2025-10-06 12:50:05,Blaklader 1690 Rip Stop Pants with Stretch | Dark Navy - 8600 Dark Navy / 36W / 32L,,USD 84.95,Sales,TRUE,Blaklader Workwear,Blaklader Workwear,0,0,0,0,in,lb,,TRUE,,goods,1,,,Active,ea,Each,BLK-16901330860036/32,,,,,USD 50.12,Cost of goods sold,,Inventory Asset,fifo,,,,,,1,FALSE,FALSE,Inventory,TRUE,TRUE,TRUE
7047058000000307744,2025-09-02 13:05:44,2025-10-06 12:50:05,Blaklader 1690 Rip Stop Pants with Stretch | Dark Navy - 8600 Dark Navy / 36W / 34L,,USD 84.95,Sales,TRUE,Blaklader Workwear,Blaklader Workwear,0,0,0,0,in,lb,,TRUE,,goods,1,,,Active,ea,Each,BLK-16901330860036/34,,,,,USD 50.12,Cost of goods sold,,Inventory Asset,fifo,,,,,,6,FALSE,FALSE,Inventory,TRUE,TRUE,TRUE
7047058000000307746,2025-09-02 13:05:44,2025-10-06 12:50:05,Blaklader 1690 Rip Stop Pants with Stretch | Dark Navy - 8600 Dark Navy / 36W / 36L,,USD 84.95,Sales,TRUE,Blaklader Workwear,Blaklader Workwear,0,0,0,0,in,lb,,TRUE,,goods,1,,,Active,ea,Each,BLK-16901330860036/36,,,,,USD 50.12,Cost of goods sold,,Inventory Asset,fifo,,,,,,2,FALSE,FALSE,Inventory,TRUE,TRUE,TRUE
7047058000000307748,2025-09-02 13:05:44,2025-09-26 8:30:46,Blaklader 1690 Rip Stop Pants with Stretch | Dark Navy - 8600 Dark Navy / 38W / 30L,,USD 84.95,Sales,TRUE,Blaklader Workwear,Blaklader Workwear,0,0,0,0,in,lb,,TRUE,,goods,1,,,Active,ea,Each,BLK-16901330860038/30,,,,,USD 50.12,Cost of goods sold,,Inventory Asset,fifo,,,,,,1,FALSE,FALSE,Inventory,TRUE,TRUE,TRUE
7047058000000307750,2025-09-02 13:05:44,2025-10-06 12:50:05,Blaklader 1690 Rip Stop Pants with Stretch | Dark Navy - 8600 Dark Navy / 38W / 32L,,USD 84.95,Sales,TRUE,Blaklader Workwear,Blaklader Workwear,0,0,0,0,in,lb,,TRUE,,goods,1,,,Active,ea,Each,BLK-16901330860038/32,,,,,USD 50.12,Cost of goods sold,,Inventory Asset,fifo,,,,,,2,FALSE,FALSE,Inventory,TRUE,TRUE,TRUE
7047058000000307752,2025-09-02 13:05:44,2025-10-06 12:50:05,Blaklader 1690 Rip Stop Pants with Stretch | Dark Navy - 8600 Dark Navy / 38W / 34L,,USD 84.95,Sales,TRUE,Blaklader Workwear,Blaklader Workwear,0,0,0,0,in,lb,,TRUE,,goods,1,,,Active,ea,Each,BLK-16901330860038/34,,,,,USD 50.12,Cost of goods sold,,Inventory Asset,fifo,,,,,,1,FALSE,FALSE,Inventory,TRUE,TRUE,TRUE
7047058000000307754,2025-09-02 13:05:44,2025-10-06 12:50:05,Blaklader 1690 Rip Stop Pants with Stretch | Dark Navy - 8600 Dark Navy / 38W / 36L,,USD 84.95,Sales,TRUE,Blaklader Workwear,Blaklader Workwear,0,0,0,0,in,lb,,TRUE,,goods,1,,,Active,ea,Each,BLK-16901330860038/36,,,,,USD 50.12,Cost of goods sold,,Inventory Asset,fifo,,,,,,1,FALSE,FALSE,Inventory,TRUE,TRUE,TRUE
7047058000000307756,2025-09-02 13:05:44,2025-10-06 12:50:05,Blaklader 1690 Rip Stop Pants with Stretch | Dark Navy - 8600 Dark Navy / 40W / 30L,,USD 84.95,Sales,TRUE,Blaklader Workwear,Blaklader Workwear,0,0,0,0,in,lb,,TRUE,,goods,1,,,Active,ea,Each,BLK-16901330860040/30,,,,,USD 50.12,Cost of goods sold,,Inventory Asset,fifo,,,,,,0,FALSE,FALSE,Inventory,TRUE,TRUE,TRUE
7047058000000307758,2025-09-02 13:05:44,2025-10-06 12:50:05,Blaklader 1690 Rip Stop Pants with Stretch | Dark Navy - 8600 Dark Navy / 40W / 32L,,USD 84.95,Sales,TRUE,Blaklader Workwear,Blaklader Workwear,0,0,0,0,in,lb,,TRUE,,goods,1,,,Active,ea,Each,BLK-16901330860040/32,,,,,USD 50.12,Cost of goods sold,,Inventory Asset,fifo,,,,,,2,FALSE,FALSE,Inventory,TRUE,TRUE,TRUE
